buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.013606,0.252835,4.304065,0,0.693147,0.530628,0.693147,3.218876,3.217675,3.091042
clean,clean,clean,clean,0.693147,1.94591,2.302585,1.280281,0.113659,0.046061,4.890349,0,0.693147,0.139762,0.364643,3.258097,3.256942,3.135494
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.173272,0.013423,4.317488,0,1.791759,0.113329,2.079442,3.295837,3.294725,1.609438
clean,clean,clean,clean,0.693147,2.079442,2.564949,1.376287,0.193604,0.059243,4.962845,0,0.693147,0.182322,0.405465,3.332205,3.330775,3.178054
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,4.59512,0,0,0,0,0,0,3.367296,3.365916,3.218876
clean,clean,clean,clean,0.693147,1.386294,1.791759,1.142789,0.06871,0.014753,5.243861,0,0.693147,0.139762,0.788457,3.401197,3.399529,3.258097
clean,clean,clean,clean,1.098612,2.397895,3.688879,1.833346,2.633686,0.155975,1.998774,0,1.098612,0.019803,0.04879,2.833213,2.829678,2.70805
clean,clean,clean,clean,0.693147,1.098612,1.94591,1.276747,0.010715,0.010715,4.541485,0,0.693147,0.029559,0.157004,2.890372,2.887033,2.70805
clean,clean,clean,clean,0.693147,1.609438,1.791759,0.935936,0.092614,0.024219,5.282188,0,1.098612,0.932164,0.788457,1.94591,1.943049,1.791759
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.691008,0.698315,0.473882,4.579852,0,1.386294,0.727549,0.916291,2.079442,2.076938,1.94591
buggy,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,5.209486,0,0,0,0,0,0,2.197225,2.195,2.079442
clean,clean,clean,clean,0.693147,1.386294,2.564949,1.131986,0.233407,0.078954,4.997753,0,1.609438,1.040277,0.457425,2.302585,2.300583,2.197225
clean,clean,clean,clean,0.693147,1.386294,2.302585,1.262798,0.469469,0.238544,4.645448,0,1.609438,0.593327,0.364643,0.693147,0.693147,0.693147
clean,clean,clean,clean,0.693147,1.386294,1.386294,0.915767,0.015798,0.023605,5.348678,0,1.609438,1.175573,1.098612,2.639057,2.633327,1.609438
clean,clean,clean,clean,0.693147,1.609438,1.609438,1.066089,1.778712,0.115311,3.157,0,0.693147,0.131028,0.223144,2.70805,2.702703,1.791759
clean,clean,clean,clean,0.693147,1.098612,1.791759,1.099765,6.514713,0,0,0,0,0,0,2.772589,2.767576,1.94591
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.100083,0.006557,5.030438,0,0.693147,0.751416,1.098612,2.833213,2.828496,2.079442
clean,clean,clean,clean,0.693147,0.693147,1.791759,1.181344,6.53814,0,0,0,0,0,0,0,0,0
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.693147,0.082888,0.01227,4.406719,0,1.609438,0.993252,1.871802,1.098612,1.098612,1.098612
clean,clean,clean,clean,0.693147,1.386294,3.555348,1.794602,6.2106,0,0,0,0,0,0,2.890372,2.885917,2.197225
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.034955,0.01957,5.537334,0,1.098612,0.48858,1.386294,2.944439,2.94022,0
clean,clean,clean,clean,0.693147,0.693147,1.609438,0.956461,5.036953,0,0,0,0,0,0,3.433987,3.430433,3.295837
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,4.174387,0,0,0,0,0,0,3.465736,3.462292,3.332205
clean,clean,clean,clean,0.693147,2.197225,3.555348,1.793045,7.930566,0,0,0,0,0,0,3.496508,3.493169,3.367296
clean,clean,clean,clean,0.693147,1.94591,3.970292,1.897392,8.326033,0,0,0,0,0,0,3.526361,3.52312,3.401197
clean,clean,clean,clean,1.098612,1.098612,1.609438,0.732243,0.356046,0.04909,3.707456,0,1.791759,1.033184,1.446919,2.995732,2.991222,2.484907
clean,clean,clean,clean,1.098612,1.098612,1.386294,0.784522,0.042302,0.044273,5.09375,0,1.94591,0.173953,2.079442,3.044522,3.040228,2.484907
clean,clean,clean,clean,0.693147,2.197225,3.555348,1.79657,7.913521,0,0,0,0,0,0,3.555348,3.551627,0
clean,clean,clean,clean,0.693147,1.609438,3.610918,1.793178,6.363028,0,0,0,0,0,0,3.583519,3.579901,0.693147
clean,clean,clean,clean,0.693147,1.94591,3.970292,1.899972,8.244859,0,0,0,0,0,0,3.610918,3.607398,1.098612
clean,clean,clean,clean,0.693147,2.833213,4.521789,2.006671,0,0.693132,4.373364,0,0.693147,0.223144,0.039221,3.637586,3.634159,3.433987
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.875469,0.09531,3.044522,0,0.693147,0.039221,0.693147,3.688879,3.685624,1.386294
clean,clean,clean,clean,1.386294,1.791759,2.197225,1.264725,0.486014,0.272247,3.991389,0,1.94591,0.688135,1.355835,3.713572,3.710396,3.663562
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0.693147,4.276666,0,0.693147,1.131402,0.693147,3.73767,3.73457,1.098612
clean,clean,clean,clean,1.098612,1.386294,1.386294,0.875702,0.070828,0.044852,4.985864,0,1.791759,0.122218,1.8453,3.7612,3.758172,3.688879
