buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,0.693147,0.693147,1.386294,0.946478,0,0.051295,4.422809,0,1.098612,3.909821,0.512824,3.465736,3.403528,3.367296
clean,clean,clean,clean,0.693147,1.386294,4.382027,1.986689,0,0.007352,6.3555,0,1.386294,3.867653,0.09531,3.583519,3.528417,3.496508
clean,clean,buggy,clean,0.693147,2.302585,4.127134,1.932104,0.000393,0.017544,5.525772,0,1.098612,3.864092,0.09531,3.610918,3.557346,3.526361
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.002503,0.002503,6.683361,0,1.609438,3.5874,2.197225,3.637586,3.585184,1.94591
buggy,clean,buggy,buggy,0.693147,0.693147,0.693147,0,0.006035,0.002418,6.717805,0,1.098612,0.231112,1.386294,2.197225,2.141242,2.197225
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.000998,0.000998,6.910751,0,1.609438,0.039221,2.397895,2.302585,2.226783,1.94591
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.243622,0,4.077537,0,0.693147,0.04879,0.693147,2.397895,2.329227,1.386294
buggy,clean,clean,buggy,0.693147,1.098612,2.302585,1.423113,0.064509,0.02574,5.442894,0,1.098612,2.621039,0.364643,3.663562,3.610648,3.555348
buggy,clean,clean,buggy,0.693147,1.098612,3.367296,1.759124,0.017821,0.005976,6.727683,0,1.386294,0.916291,0.307485,3.688879,3.637323,3.583519
buggy,clean,clean,buggy,0.693147,1.791759,3.931826,1.893693,0.064339,0.02191,5.423716,0,1.386294,0.667829,0.198851,3.713572,3.663305,3.610918
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.0724,0.010187,6.375025,0,1.098612,3.936716,1.098612,2.484907,2.420368,2.079442
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.543445,0.005966,0.001495,6.506531,0,0.693147,1.702928,0.405465,2.302585,2.241773,2.302585
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.013072,0.013072,4.343805,0,0.693147,1.740466,0.693147,1.94591,1.873339,1.791759
clean,clean,clean,clean,0.693147,1.386294,1.386294,0.853815,0.020726,0.007823,6.235058,0,1.098612,1.665818,0.693147,2.079442,2.016235,1.94591
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.012739,0,4.369448,0,1.098612,4.010782,1.098612,2.564949,2.495682,1.386294
buggy,clean,clean,clean,0.693147,1.94591,3.610918,1.642141,0.053431,0.053946,5.3253,0,1.791759,2.061787,0.285179,2.639057,2.5749,1.609438
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.011561,0.011561,4.465908,0,0.693147,1.891605,0.693147,2.197225,2.138889,2.079442
