buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,3.610918,0,0,0,0,0,0,3.988984,3.940416,1.386294
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.054067,0.054067,3.610918,0,0.693147,0.00995,0.693147,4.007333,3.95967,1.609438
clean,clean,clean,clean,0.693147,0.693147,1.098612,0,0,0,0,0,0.693147,2.598979,0.405465,4.025352,3.978372,1.386294
clean,clean,clean,clean,0.693147,0.693147,1.94591,1.227659,0.080043,0.080043,4.043051,0,0.693147,2.999724,0.693147,4.043051,3.996548,1.94591
buggy,clean,buggy,clean,0.693147,0.693147,0.693147,0,0.006192,0,5.777652,0,0.693147,2.992226,2.302585,4.060443,4.01476,3.713572
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.004819,0.004819,5.337538,0,0.693147,2.631169,1.791759,4.077537,4.032646,3.73767
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.004819,0.004819,5.337538,0,0.693147,0.019803,1.94591,4.094345,4.050219,3.7612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.114991,0.003578,5.63479,0,0.693147,1.78507,1.791759,4.110874,4.067487,3.78419
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.009217,0.009217,4.691348,0,0.693147,0.067659,1.609438,4.127134,4.084294,2.079442
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.027399,0.00692,4.976734,0,0.693147,0.620576,1.94591,4.143135,4.099,2.197225
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.670101,0.179971,0.02778,3.597312,0,0.693147,2.13061,0.916291,4.158883,4.115454,2.944439
clean,clean,clean,clean,1.098612,1.098612,1.609438,1.032024,0.090457,0.040585,4.448516,0,0.693147,0.792993,1.252763,4.174387,4.129068,3.044522
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0,0,0,0.693147,1.137833,0.693147,4.189655,4.144721,1.609438
buggy,buggy,buggy,buggy,0.693147,1.098612,1.94591,0.781794,0.053179,0.027667,6.510749,1,1.098612,2.897568,1.153732,4.204693,4.160288,3.806662
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.02163,0.004364,6.532334,0,0.693147,1.958685,1.791759,4.219508,4.175617,3.828641
buggy,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.018453,0.001432,6.549651,0,0.693147,0.542324,1.94591,1.098612,1.068153,1.098612
buggy,clean,clean,clean,0.693147,0.693147,1.098612,0.675023,0.011183,0.004316,6.361302,0,1.098612,0.438255,1.94591,4.234107,4.188594,3.850148
buggy,buggy,buggy,clean,0.693147,0.693147,0.693147,0,0.030772,0.00577,6.76273,0,1.098612,1.064711,1.94591,1.386294,1.360977,1.386294
buggy,buggy,buggy,buggy,0.693147,0.693147,1.791759,0.616381,0.022298,0.024301,6.374002,1,1.098612,2.666534,0.955511,1.609438,1.589235,1.609438
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.335149,0.045257,5.783825,0,0.693147,3.197448,1.791759,1.791759,1.774952,1.791759
buggy,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.055959,0.028371,4.941642,0,0.693147,3.463859,1.098612,4.248495,4.196149,3.871201
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.05557,0.05557,3.583519,0,0.693147,3.329701,1.386294,4.26268,4.21109,3.89182
buggy,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.005698,0,6.775366,0,0.693147,1.576915,2.079442,4.276666,4.225811,3.912023
buggy,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.028765,0.049346,6.244167,0,1.098612,1.601406,2.079442,4.290459,4.240031,3.931826
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.002255,0.002255,6.787845,0,0.693147,3.370738,1.386294,4.304065,4.254335,3.951244
buggy,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.020409,0,5.676754,0,0.693147,3.497113,1.098612,0,0,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.010399,0,5.66296,0,1.098612,3.049747,1.609438,4.317488,4.265914,3.970292
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.688675,0.093332,0,3.850148,0,0.693147,1.965713,1.252763,4.330733,4.277222,3.135494
buggy,buggy,buggy,buggy,0.693147,0.693147,1.609438,0.570087,0.013506,0.036283,6.741405,1,1.098612,2.292535,1.178655,4.343805,4.290733,3.988984
clean,clean,clean,clean,0.693147,0.693147,2.197225,1.26028,0.019314,0.019314,5.230467,0,0.693147,3.498022,0.223144,4.356709,4.301765,1.791759
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.693147,0.028573,0.028573,3.569533,0,0.693147,3.573188,0.693147,4.369448,4.315219,4.007333
buggy,buggy,buggy,buggy,0.693147,1.386294,2.079442,0.970529,0.035863,0.019595,6.409237,0,1.098612,2.457878,1.272566,4.382027,4.328494,4.025352
clean,clean,clean,clean,1.098612,1.386294,1.609438,1.045704,0.05327,0.010423,5.37412,0,0.693147,2.862772,1.558145,4.394449,4.331785,4.26268
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.003968,0.003968,6.222576,1,1.098612,2.071913,2.197225,4.406719,4.344844,4.060443
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.693147,0,2.397895,0,0.693147,0.058269,0.693147,4.418841,4.357606,4.077537
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.002699,0.002699,5.916202,1,0.693147,3.666378,1.098612,4.430817,4.370207,4.094345
buggy,buggy,buggy,buggy,0.693147,0.693147,1.098612,0.516972,0.028171,0.003423,6.08336,0,1.098612,2.177022,1.791759,4.442651,4.380651,4.110874
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.675023,0.023149,0.018562,6.059123,0,0.693147,3.584907,0.916291,4.454347,4.392967,4.127134
clean,clean,clean,clean,1.098612,1.098612,1.386294,0.94971,0.01089,0.01089,4.525369,0,0.693147,3.474138,0.693147,4.465908,4.402564,4.234107
