buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,2,3,8,0.605187,25,2,107.5,0,2,16.3,0.75,24,18.55,12
clean,clean,clean,clean,1,1,1,0,1,1,475,0,2,0.01,6,25,19.55,3
clean,clean,clean,clean,1,3,5,2.01741,22,11,357,1,5,39.85,4.2,26,20.55,11
clean,clean,clean,clean,2,2,2,0.970951,11,9,107,0,1,2.11,0.5,27,21.54,16
buggy,buggy,buggy,buggy,1,3,9,2.50583,1542,3,54.89,0,5,3.54,0.89,35,30.24,14
clean,clean,clean,clean,1,16,53,5.3973,155,142,154.72,0,1,20.66,0.62,60,51.73,57
clean,clean,clean,clean,1,2,2,0.918296,8,4,101.5,0,1,1.25,2.5,61,52.73,58
buggy,buggy,buggy,buggy,2,18,56,4.88685,830,837,144.86,0,5,9.61,0.8,63,54.6,62
buggy,buggy,buggy,clean,1,2,2,0.696212,128,0,0,0,0,0,0,28,22.35,13
buggy,buggy,buggy,buggy,1,10,24,2.79562,273,271,98.63,0,4,5.06,0.58,64,55.47,3
clean,clean,clean,clean,1,1,1,0,8,0,161,0,1,3.27,6,65,56.29,61
clean,clean,clean,clean,1,1,1,0,2,1,169,0,1,0.1,7,66,57.28,62
buggy,buggy,buggy,clean,2,29,53,4.75846,210,177,181.51,0,5,33.09,1.43,67,57.64,67
clean,clean,clean,clean,1,1,2,0.999411,30,5,65.5,0,1,6.02,1.5,68,58.36,64
buggy,clean,clean,buggy,1,12,37,4.81137,435,433,123.95,0,1,29.59,0.62,69,59.36,65
clean,clean,clean,clean,1,1,1,0,52,0,0,0,0,0,0,36,29.79,5
clean,clean,clean,clean,1,2,2,0.448864,28,4,123.5,0,1,13.27,6,70,58.96,66
clean,clean,clean,clean,1,1,1,0,52,0,0,0,0,0,0,37,30.37,6
clean,clean,clean,clean,1,1,1,0,0,52,52,0,1,5.91,1,38,31.37,7
clean,clean,clean,clean,1,1,1,0,36,0,52,0,1,0,1,29,22.2,8
clean,clean,clean,clean,1,1,2,0.918296,17,1,11,0,2,128.72,1.5,39,32.37,8
clean,clean,clean,clean,1,1,1,0,4,4,89,0,2,37.83,7,30,23,9
clean,clean,clean,clean,2,2,4,1.9183,6,6,343.25,0,4,20.95,8.5,31,24,19
clean,clean,clean,clean,1,1,1,0,13,0,109,0,2,0.08,5,32,25,6
clean,clean,clean,clean,2,2,2,0.965636,23,0,225.5,0,3,0.04,9.5,33,26,22
clean,clean,clean,clean,1,1,2,0.684038,95,4,53.5,0,3,18.62,4.5,34,27,10
clean,clean,clean,clean,1,1,1,0,12,0,107,0,2,0.18,9,35,27.98,11
clean,clean,clean,clean,1,1,1,0,18,1,91,0,2,0.8,3,40,32.99,9
clean,clean,clean,clean,1,2,6,2.58268,100,0,21,0,3,53.82,0.67,41,33.99,15
clean,clean,clean,clean,3,3,4,2,4,4,175.25,0,3,2.74,6.5,36,28.8,36
clean,clean,clean,clean,3,3,3,1.52193,5,5,197.67,0,3,0.85,8.33,37,29.74,39
clean,clean,clean,clean,1,1,1,0,18,1,119,0,2,0.07,12,38,30.74,14
clean,clean,clean,clean,1,1,1,0,256,333,559,0,1,237.39,1,42,34.66,10
clean,clean,clean,clean,1,1,1,0,3,3,183,0,1,27.06,4,1,0.59,0
clean,clean,clean,clean,1,1,1,0,1,0,24,0,1,12.21,3,43,35.39,11
clean,clean,clean,clean,2,2,2,0.918296,3,3,174,0,2,43.02,4.5,2,1.57,1
clean,clean,clean,clean,1,1,1,0,5,2,251,0,1,40.97,8,71,56.15,67
buggy,buggy,buggy,buggy,2,18,37,4.54616,180,149,162.78,0,3,50.49,0.65,72,56.8,73
clean,clean,clean,clean,1,1,1,0,1,1,108,0,2,22.05,5,44,35.02,12
clean,clean,clean,clean,1,1,1,0,1,1,460,0,4,25.12,17,45,36.02,16
clean,clean,clean,clean,1,1,1,0,1,1,475,0,3,25.12,9,46,37.02,8
clean,clean,clean,clean,1,1,1,0,1,1,460,0,4,0.01,18,47,38.02,17
clean,clean,clean,clean,1,1,1,0,1,1,475,0,3,0.01,10,48,39.02,9
clean,clean,clean,clean,3,3,4,1.66425,228,353,260.75,0,4,0.09,7.5,49,40.01,41
clean,clean,clean,clean,1,1,1,0,3,0,25,0,1,17.09,4,50,41.01,14
clean,clean,clean,clean,1,1,1,0,3,0,28,0,1,0,5,51,42,15
clean,clean,clean,clean,3,7,7,2.15257,167,28,101.14,0,4,0.03,4.43,52,43,46
clean,clean,clean,clean,1,1,1,0,7,2,14,0,2,29.36,3,53,44,17
clean,clean,buggy,clean,3,4,5,1.49998,132,95,215.8,0,3,13.9,6,54,44.99,50
clean,clean,clean,clean,1,1,1,0,1,1,136,0,3,0.01,14,55,45.99,19
clean,clean,clean,clean,1,1,1,0,1,1,338,1,5,47.04,15,10,6.88,7
buggy,buggy,buggy,buggy,3,4,9,2.65286,252,157,155,0,3,2.16,3.67,56,46.91,54
clean,clean,clean,clean,1,2,7,2.53557,100,5,256,0,4,70.04,1.29,11,7.88,8
clean,clean,clean,clean,3,3,4,1.97494,6,3,243.5,0,4,0.47,8.25,57,47.9,57
clean,clean,clean,clean,1,1,1,0,3,3,167,0,2,0,10,58,48.9,22
clean,clean,clean,clean,1,1,1,0,1,1,302,0,3,0.02,14,59,49.9,15
clean,clean,clean,clean,1,1,1,0,1,1,109,0,2,0.09,6,60,50.9,16
clean,clean,clean,clean,2,2,2,0,1,1,68,0,3,23.99,8,61,51.9,46
