buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,1,1,1,0,0,2,262,0,1,13.65,2,24,21.41,15
clean,clean,clean,clean,3,3,3,1.16744,26,12,674.33,0,6,13.05,15.67,28,24.37,44
clean,clean,clean,clean,2,5,7,2.51042,131,39,259,1,6,28.61,6.86,29,25.37,39
buggy,clean,clean,clean,3,4,5,1.96854,55,12,396.8,1,6,27,9.8,23,20.41,51
buggy,buggy,buggy,buggy,2,5,5,1.26854,469,7,534.4,0,6,20.06,10,30,26.3,41
clean,clean,clean,clean,2,2,2,0.918296,4,2,424.5,0,6,40.31,25.5,25,22.2,19
clean,clean,clean,clean,1,1,5,1.8189,370,0,0,0,0,0,0,31,27.04,0
clean,clean,clean,clean,3,4,8,2.5291,111,21,275.5,0,6,30.45,6.5,32,27.98,51
clean,clean,clean,clean,3,4,4,1.21339,646,237,1018.25,0,6,60.26,13.25,24,21.11,54
clean,clean,clean,clean,2,2,5,0.380501,2135,2434,2234.8,0,6,67.91,10.8,33,28.91,45
buggy,buggy,buggy,buggy,3,4,4,1.13566,39,31,471.75,1,6,13.32,14,26,22.97,43
clean,clean,clean,clean,1,1,1,0,232,0,0,0,0,0,0,34,29.85,19
buggy,buggy,buggy,buggy,2,6,18,3.78207,1951,0,37.33,0,6,0.01,3.11,27,23.96,21
clean,clean,clean,clean,1,1,1,0,1,1,674,0,6,2.81,57,35,30.63,28
clean,buggy,clean,clean,0,0,0,0,0,0,0,0,0,0,0,36,31.63,0
clean,clean,clean,clean,1,1,2,0.650022,10,2,769,0,6,17.31,30,37,32.63,29
buggy,clean,clean,clean,2,2,2,0.322757,30,21,659,1,6,12.18,29.5,17,14.63,25
clean,clean,clean,clean,2,2,2,0.322757,30,21,655,1,6,12.31,29,18,15.63,27
buggy,buggy,buggy,buggy,3,6,8,2.61398,200,27,568.5,0,6,37.92,7.63,25,21.84,57
clean,clean,clean,clean,3,6,8,2.61398,200,27,567.5,0,6,37.91,7.5,26,22.84,60
clean,clean,clean,clean,1,1,1,0,4,0,689,0,6,0,61,27,23.84,20
clean,clean,clean,clean,2,2,3,0.231376,1963,2211,3676.67,0,6,5.1,21,38,33.36,50
clean,clean,clean,clean,1,1,1,0,0,4,695,0,6,0,63,39,34.36,31
clean,clean,clean,clean,2,2,3,0.213451,1959,2207,3672.67,0,6,5.11,20.33,40,35.36,53
clean,clean,clean,clean,3,3,8,1.38501,256,20,577,0,6,32.17,7.63,28,24.64,64
buggy,buggy,buggy,buggy,3,3,8,1.38501,256,20,578,0,6,32.18,8,29,25.64,67
clean,clean,clean,clean,2,2,2,1,4,0,668,0,6,5.79,32.5,41,35.93,55
clean,clean,clean,clean,3,3,3,0.592387,104,9,348.33,1,6,52.65,22,42,36.93,66
clean,clean,clean,clean,1,1,3,1.06128,8,8,535,0,6,42.66,21.33,43,37.92,35
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,44,38.92,0
buggy,clean,buggy,clean,3,3,3,0.668564,32,0,934.33,0,6,7.31,22.33,2,1.81,6
clean,clean,clean,clean,1,1,1,0,6,1,864,0,5,2.03,16,45,39.72,36
clean,clean,clean,clean,3,4,4,1.13877,108,1,948.25,0,6,23.07,17,28,24.17,47
buggy,clean,buggy,buggy,3,5,5,1.84626,92,20,710,1,6,22.14,13.8,3,2.79,9
buggy,buggy,buggy,buggy,3,9,37,4.16123,2198,411,438.7,1,6,36.83,2.03,19,16.2,37
clean,clean,clean,clean,1,1,1,0,6,6,55,0,2,87.05,2,46,40.36,37
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,47,41.35,0
buggy,buggy,buggy,buggy,3,17,46,4.76894,316,155,551.33,1,6,82.04,1.57,29,24.88,50
buggy,buggy,buggy,buggy,3,4,6,2.18428,110,15,512,0,6,48.6,12,4,3.74,12
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,48,42.14,0
clean,clean,clean,clean,1,1,1,0,5,5,236,0,1,12.88,2,49,43.14,24
clean,clean,clean,clean,1,1,1,0,5,5,236,0,1,12.9,2,50,44.14,25
buggy,buggy,buggy,buggy,2,6,24,2.68017,2087,274,442.08,1,3,26.02,0.46,20,16.81,26
clean,clean,clean,clean,1,1,1,0,1,1,37,0,2,82,4,51,44.59,26
clean,clean,clean,clean,1,1,1,0,1,1,37,0,2,82,4,52,45.59,27
buggy,buggy,buggy,buggy,3,8,11,2.44082,568,40,363.73,0,6,32.17,6.64,30,25.52,53
buggy,clean,buggy,buggy,1,3,7,2.59779,460,1,9,0,2,25.49,0.29,53,46.5,2
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,2,1.71,0
buggy,buggy,buggy,buggy,2,5,11,1.50115,1420,64,491.45,1,3,4.36,1,21,17.68,28
buggy,clean,clean,clean,2,2,2,0.503258,10,8,566,1,6,4.02,37,5,4.63,10
buggy,clean,buggy,buggy,1,3,4,1.53067,43,4,236,0,5,6.67,2,30,25.13,27
clean,clean,clean,clean,3,4,4,1.56667,185,30,437.25,1,6,5,18.75,22,18.41,44
buggy,clean,buggy,clean,3,3,3,0.941139,38,2,980.33,1,6,10.23,25.33,6,5.54,17
clean,clean,clean,clean,2,3,3,1.206,17,4,946.67,1,6,43.4,25.67,7,6.52,14
clean,clean,clean,clean,3,4,8,1.39076,53,3,458.5,0,6,53.96,9.75,8,7.47,22
clean,clean,clean,clean,3,3,3,1.13131,25,0,715.33,0,6,7.47,27,23,19.19,47
buggy,buggy,buggy,buggy,2,5,7,1.93773,102,26,482.29,1,6,51.71,11.43,24,20.05,37
clean,clean,clean,clean,3,3,4,1.35123,24,0,939.25,0,6,56.12,20.25,9,8.4,25
clean,buggy,buggy,clean,2,2,2,1,3,1,476.5,1,6,3.67,41,31,25.28,44
clean,clean,clean,clean,2,2,2,0.503258,10,8,549,1,6,46.33,31.5,10,9.31,20
buggy,buggy,buggy,buggy,2,5,5,1.22524,33,17,464.2,1,6,16.36,16.6,25,20.82,39
buggy,clean,buggy,buggy,3,4,4,1.04374,155,14,1879.75,1,6,19.33,21,26,21.71,54
buggy,clean,clean,clean,3,6,6,1.81826,44,0,759.83,0,6,28.3,14.33,11,10.1,30
buggy,buggy,buggy,buggy,3,17,38,4.03352,2788,112,526.95,0,6,45.48,2.37,54,44.34,76
buggy,clean,buggy,buggy,1,8,15,3.66268,1238,0,8.47,0,2,11.89,0.2,12,11.04,0
clean,buggy,buggy,clean,2,2,2,0.918296,5,1,452,1,6,96.77,31.5,32,25.64,46
clean,clean,clean,clean,3,4,6,1.48412,349,12,289.83,1,6,51.24,14.5,27,22.3,57
buggy,buggy,buggy,buggy,3,5,8,2.10076,88,43,551.38,1,6,26.14,11.13,13,11.92,24
clean,clean,clean,clean,2,3,4,1.64115,13,8,302.5,1,6,58.6,16,31,24.54,51
clean,clean,clean,clean,1,1,1,0,2,2,116,0,2,103.16,2,55,44.74,11
clean,clean,clean,clean,4,7,8,2.84918,15,13,447.63,0,6,87.18,3.5,56,45.73,81
clean,clean,clean,clean,3,6,7,2.63376,11,13,495.29,0,6,0.01,4,32,25.52,55
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,57,46.73,0
clean,clean,clean,clean,3,4,5,1.41149,43,24,298.6,1,6,43.74,17.8,33,26.46,75
buggy,buggy,buggy,buggy,3,9,27,3.22362,503,904,827.52,1,6,26.68,3.48,14,12.82,35
clean,clean,clean,clean,3,3,4,1.38183,47,4,622.75,1,6,50.06,22.75,15,13.82,38
buggy,clean,clean,clean,3,5,7,1.35735,479,9,1382.86,0,6,66.43,13.43,34,26.98,61
clean,clean,clean,clean,2,3,5,1.97876,131,33,180.4,0,6,4.89,19,16,14.62,16
clean,clean,clean,clean,3,4,5,1.3602,23,70,305.8,1,6,36.04,19.2,17,15.53,42
buggy,buggy,buggy,buggy,3,13,25,3.09989,1864,364,589.44,0,6,32.72,3.96,34,26.93,78
clean,clean,clean,clean,1,1,1,0,0,0,0,0,2,0,2,35,27.93,32
buggy,buggy,buggy,buggy,3,3,13,2.88527,299,47,412.77,0,6,86.71,7.46,58,46.67,83
buggy,buggy,buggy,buggy,3,3,3,0.951337,147,0,415.33,0,6,69.08,32.67,18,16.34,45
clean,buggy,buggy,buggy,3,6,6,1.79936,233,159,742.33,0,6,5.25,16.5,36,28.55,82
clean,clean,clean,clean,2,2,2,0.918296,4,2,721.5,1,6,8.66,50,19,17.27,35
clean,clean,clean,clean,2,2,2,0.053497,133,196,5312.5,0,6,35.83,50.5,0,0,0
clean,clean,clean,clean,1,2,2,1,6,2,726.5,1,1,20.86,0.5,0,0,0
buggy,buggy,buggy,clean,2,3,3,0.744194,50,2,537,1,7,21.2,34,37,28.77,62
clean,clean,clean,clean,3,3,3,1.21702,56,8,1115.67,1,7,16.2,34.33,38,29.72,87
buggy,buggy,buggy,buggy,3,4,19,2.13206,1938,75,307.11,0,7,59.01,5.68,20,17.69,50
buggy,buggy,buggy,buggy,3,5,9,2.50629,517,146,447.67,0,7,29.4,11.78,21,18.68,53
clean,buggy,buggy,clean,3,6,9,2.72746,279,61,264.78,0,7,40.57,11.78,22,19.63,56
buggy,buggy,buggy,buggy,3,7,8,2.14052,710,60,976.13,0,7,22.79,13.5,39,30.32,90
buggy,clean,clean,clean,2,5,5,1.70413,93,29,343.2,1,7,98.72,21.8,23,20.4,43
clean,clean,clean,clean,1,1,1,0,1,1,798,0,7,0.01,111,60,46.05,42
clean,buggy,clean,clean,0,0,0,0,0,0,0,0,0,0,0,61,47.05,0
clean,clean,clean,clean,1,1,2,0.650022,11,1,858.5,0,7,0.1,57,62,48.05,43
clean,clean,clean,clean,1,1,3,0,5,5,78.67,0,2,0.97,2.33,63,48.95,32
clean,clean,clean,clean,1,1,3,0,5,5,78.67,0,2,0.98,2.33,64,49.95,33
clean,clean,clean,clean,1,1,2,0.619382,10,3,487,0,5,40.79,9,65,50.94,44
clean,clean,clean,clean,1,1,1,0,6,1,919,0,5,1.8,18,66,51.85,45
clean,clean,clean,clean,1,1,1,0,6,1,919,0,5,0.72,18,67,52.85,46
clean,clean,clean,clean,2,2,2,0.970951,4,1,734.5,1,7,11.92,56,24,21.24,45
clean,clean,clean,clean,2,2,2,0.970951,4,1,739.5,1,7,11.92,56.5,25,22.24,47
buggy,buggy,buggy,buggy,3,4,5,1.64796,49,3,777.2,0,7,14.22,22.8,68,53.83,95
clean,buggy,buggy,buggy,3,4,5,1.64796,49,3,775.2,0,7,14.23,22.6,69,54.83,98
buggy,buggy,buggy,buggy,3,3,4,1.24226,72,1,405.25,0,7,14.57,28.75,70,55.49,101
buggy,buggy,buggy,buggy,3,3,4,1.24226,72,1,402.75,0,7,14.57,28.5,71,56.48,104
clean,clean,clean,clean,3,3,4,0.925506,70,3,574,1,7,12.74,29,40,30.92,93
clean,clean,clean,clean,3,3,4,0.925506,70,3,571.5,1,7,12.74,28.75,41,31.91,96
clean,clean,clean,clean,2,2,3,1.26077,16,1,303.67,0,7,89.56,39,4,3.27,4
clean,clean,clean,clean,3,3,3,0.614369,35,1,414.33,1,7,30.46,39.33,72,57.33,107
buggy,buggy,buggy,buggy,1,3,3,0.938369,366,0,2,0,3,15.64,1.33,35,25.98,3
buggy,buggy,buggy,buggy,5,8,10,2.93152,16,14,511,1,7,85.91,12.3,73,58.22,112
clean,clean,clean,clean,2,2,2,1,2,2,529,0,7,2.96,60.5,74,59.22,93
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,75,60.22,0
clean,buggy,buggy,buggy,0,0,0,0,0,0,0,0,0,0,0,76,61.22,0
clean,clean,clean,clean,1,1,2,0.591673,13,1,873.5,0,7,0.01,62,77,62.22,54
clean,clean,clean,clean,1,1,1,0,1,1,62,0,2,5.79,4,78,63.22,55
clean,clean,clean,clean,1,1,2,0.566509,11,4,490,0,5,43.07,10.5,79,64.22,56
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,80,65.22,0
